crop_image,depth[m],equivalent_diameter[px],grain_size[px],grain_size_err[px]
4,2014.909,174.63486880827068,786108.4219858156,0
4,2014.91,178.31005471355118,819967.0454545454,0
5,2014.911,184.80756615265128,868430.5555555555,0
5,2014.912,187.2590440727531,883758.1096196868,0
5,2014.913,188.76255665869323,897757.4384787471,0
5,2014.914,181.51454774240204,834589.936440678,0
5,2014.9150000000002,177.37828249064412,793828.9393939395,0
5,2014.9160000000002,174.73809460846826,764288.0434782609,0
5,2014.9170000000001,175.03571187613431,765109.6534653465,0
5,2014.9180000000001,174.8937684622892,764289.9408284024,0
5,2014.919,173.1527411122175,753996.3855421686,0
5,2014.92,177.16338480323296,798499.0041928721,0
5,2014.921,179.2364726327637,826342.4578059071,0
5,2014.922,179.9893180370066,839903.6559139785,0
5,2014.923,180.31014655358507,845877.8888888889,0
5,2014.924,185.20669865083855,893823.4953703703,0
5,2014.9250000000002,183.71812172932255,885190.8045977012,0
5,2014.9260000000002,181.34796355968308,866764.4295302014,0
5,2014.9270000000001,176.8602132929631,832161.0699152543,0
5,2014.928,175.99242388765018,813281.9238900634,0
5,2014.929,172.7544267747242,779570.2848722986,0
5,2014.93,172.0183251160378,762907.5095057035,0
5,2014.931,168.50070886780105,714357.8096118299,0
5,2014.932,167.83354160492215,695286.9856887299,0
5,2014.933,167.52773856630606,687695.250431779,0
5,2014.9340000000002,166.9566301393488,681758.4905660377,0
5,2014.9350000000002,166.76138486660483,679414.0306122449,0
5,2014.9360000000001,164.9588764748865,666831.75,0
5,2014.9370000000001,164.0902623306578,657024.5840266224,0
5,2014.938,161.9263915928685,640081.047077922,0
5,2014.939,160.9325470030379,630149.0243902439,0
5,2014.94,157.68569494097133,603713.6363636364,0
5,2014.941,155.34344595216712,583689.870030581,0
5,2014.942,155.7415924094087,587310.6382978724,0
5,2014.943,155.12480265708433,582110.3715170278,0
5,2014.9440000000002,155.42279535913102,585629.6682098765,0
5,2014.9450000000002,155.84854389720095,585644.8688271604,0
5,2014.9460000000001,157.3443010745255,591170.0312989046,0
5,2014.9470000000001,160.24455496820747,614775.56,0
5,2014.948,159.1027680647517,607218.3359621451,0
5,2014.949,160.65823901074253,621963.5566188198,0
5,2014.95,162.73574500535418,633585.993485342,0
5,2014.951,166.53109418210732,666348.5420240137,0
5,2014.952,169.55205436763922,697032.0855614974,0
5,2014.9530000000002,169.29645014640542,698526.6459074733,0
5,2014.9540000000002,171.84199845006495,725651.582867784,0
5,2014.9550000000002,176.01878164426967,766261.2475442044,0
5,2014.9560000000001,178.47323294917965,793572.25950783,0
5,2014.957,179.29790986884882,802391.323907455,0
5,2014.958,190.62795996661023,898638.4803921569,0
5,2014.959,198.4373076529321,971932.8189300412,0
5,2014.96,205.93117481306885,1060705.6451612904,0
6,2014.961,200.71462879305037,993615.4761904762,0
6,2014.962,195.16211142991253,947041.6267942584,0
6,2014.9630000000002,197.3512038256237,961681.130952381,0
6,2014.9640000000002,195.66616346559655,942412.4708624709,0
6,2014.9650000000001,194.2712656979563,926341.5322580645,0
6,2014.9660000000001,196.11475967747373,949777.4764150943,0
6,2014.967,196.7945242348848,978677.0588235294,0
6,2014.968,195.28334576152915,963585.866983373,0
6,2014.969,197.91485890931153,1002220.5635491607,0
6,2014.97,196.65130779174999,995665.948275862,0
6,2014.971,199.74409078183578,1024953.7406483791,0
6,2014.972,202.99052298246718,1053288.8671875,0
6,2014.9730000000002,204.717924264778,1073504.7333333334,0
6,2014.9740000000002,204.539186202518,1066974.6778350514,0
6,2014.9750000000001,203.20051212573654,1052696.719160105,0
6,2014.976,200.44072189941642,1020646.2563451777,0
6,2014.977,193.38432406130568,926287.2607655502,0
6,2014.978,189.96216295610185,904655.1704545454,0
6,2014.979,185.88495680629342,869745.6208425721,0
6,2014.98,188.12741348382255,889528.2924107143,0
6,2014.981,194.02321915023208,965481.1176470588,0
6,2014.9820000000002,196.29906324071663,1008333.3946078431,0
6,2014.9830000000002,199.31898049266033,1039605.1898734177,0
6,2014.9840000000002,200.576856447745,1070456.8181818181,0
6,2014.9850000000001,207.5421504069086,1154534.670487106,0
6,2014.986,211.73732624748206,1201033.868501529,0
6,2014.987,224.839358749733,1369070.5536912752,0
6,2014.988,239.34873115166735,1530841.5111940298,0
6,2014.989,253.4979577180811,1667468.2098765431,0
6,2014.99,250.45688765439726,1629137.0481927712,0
6,2014.991,242.19365445079708,1524333.9015151516,0
6,2014.9920000000002,238.9419139696192,1452837.7272727273,0
6,2014.9930000000002,236.5773235089335,1424098.2269503546,0
6,2014.9940000000001,231.38016689056667,1369107.8903654485,0
6,2014.9950000000001,224.68358836172078,1291324.3690851736,0
6,2014.996,224.71468026603733,1290684.907120743,0
6,2014.997,222.18002634112113,1241469.0366972478,0
6,2014.998,220.39849909545262,1209638.8138138137,0
6,2014.999,217.6435588613304,1202638.9705882352,0
6,2015.0,221.25729874113125,1244865.4191616767,0
6,2015.0010000000002,224.80571786162076,1283796.6194968554,0
6,2015.0020000000002,225.39859884331787,1303565.5063291139,0
6,2015.0030000000002,228.25082934724773,1341321.4743589743,0
6,2015.0040000000001,231.94652092953646,1368702.1739130435,0
6,2015.005,232.39258285565342,1376849.8233215548,0
6,2015.006,234.17983710616096,1408461.1,0
6,2015.007,240.16604440809635,1479176.5550239235,0
